Buenos Aires,    -34.6037
Santiago,    -33.4489
Johannesburg,    -26.2041
Capetown,    -33.9249
Sydney,    -33.8688
Brisbane,    -27.4705
Gold Coast,    -28.0167
Townsville,    -19.2590
Alice Springs,    -23.6980
Uluru,    -25.3444
Auckland,    -36.8509
Montevideo,    -34.9011
Rio De Janeiro,    -22.9068
Sao Paulo,    -23.5505
La Paz,    -16.4897
Port Louis,    -20.1609
Canberra, -35.2809
Newcastle, -32.9283
Harare, -17.8216
Nuku'alofa, -21.1393
Cairns, -16.9203
Suva, -18.1405
